This file was created by using the 202510 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -12 to - 2.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200701,   2.03,   1.03,   2.10,   1.99,   1.54,   2.27
200702,  -0.06,  -0.46,  -0.65,  -0.62,  -1.45,  -2.62
200703,   0.04,   1.25,   1.85,  -0.43,   0.42,   2.90
200704,   1.95,   1.52,   2.84,   5.09,   4.16,   3.88
200705,   4.09,   4.29,   2.91,   3.52,   3.29,   4.04
200706,  -1.78,  -0.80,  -0.82,  -1.56,  -1.73,  -1.49
200707,  -7.63,  -5.17,  -4.95,  -4.48,  -3.40,  -1.48
200708,   1.36,   1.36,   1.01,   1.91,   1.05,   2.20
200709,  -0.26,   0.38,   3.93,   1.54,   3.14,   6.21
200710,  -0.87,   2.27,   3.94,  -1.39,   2.46,   3.86
200711,  -8.27,  -6.56,  -7.79,  -6.12,  -3.41,  -4.37
200712,  -2.44,  -0.81,   1.03,  -7.41,  -1.44,   2.23
200801,  -3.04,  -6.36, -10.61,  -1.28,  -3.80,  -9.20
200802,  -5.99,  -3.51,  -2.39,  -9.47,  -3.57,  -0.80
200803,  -2.52,   1.43,  -0.97,  -6.76,  -0.55,   0.19
200804,   2.79,   2.85,   4.51,   8.75,   2.36,   6.37
200805,   3.93,   3.97,   4.96,  -2.86,   1.34,   2.89
200806, -15.60,  -9.83,  -5.15, -19.33, -10.19,  -4.35
200807,   4.89,   3.98,   1.95,   3.51,   1.59,  -3.59
200808,   7.52,   4.60,   0.63,   2.05,   2.68,  -0.03
200809,  -9.82,  -6.57,  -9.93, -13.26,  -6.18, -11.44
200810, -25.59, -20.80, -18.94, -23.79, -15.64, -14.70
200811, -17.09, -13.63,  -9.79, -14.51,  -4.60,  -7.25
200812,   9.59,   5.26,   4.52,   4.95,   2.26,  -0.15
200901,  -7.79,  -9.81, -12.14,  -7.48,  -8.10,  -7.86
200902, -16.09, -12.23, -11.94, -13.87, -10.17,  -9.31
200903,  18.59,  11.38,   7.64,  18.72,  10.68,   6.01
200904,  46.43,  22.43,   8.86,  33.50,  13.92,   2.38
200905,  15.04,   3.53,   1.33,  14.35,   5.92,   2.99
200906,  -0.36,   3.03,   3.05,  -6.04,   0.69,   1.44
200907,  14.31,  10.18,   8.03,  10.96,   7.87,   6.15
200908,  11.32,   3.60,  -0.30,   8.52,   3.40,   1.94
200909,  10.80,   5.65,   4.85,   7.01,   3.58,   3.22
200910,  -7.87,  -5.66,  -8.37,  -6.89,  -1.13,  -1.39
200911,   2.14,   2.17,   3.34,   6.29,   5.70,   5.87
200912,   8.53,   7.31,   9.55,  -0.47,   3.59,   4.50
201001,  -0.70,  -3.48,  -4.49,  -0.22,  -3.29,  -7.09
201002,   3.06,   4.12,   6.57,   1.54,   3.55,   5.41
201003,   8.32,   7.56,   9.37,   4.45,   5.86,  10.54
201004,   5.79,   5.89,   8.27,   1.04,   0.86,   4.89
201005,  -7.96,  -6.89,  -7.93,  -7.77,  -7.88,  -8.20
201006,  -7.52,  -6.60, -10.36,  -4.19,  -5.66,  -6.75
201007,   5.98,   6.37,   8.85,   7.30,   6.46,   8.00
201008,  -7.79,  -7.49,  -7.12,  -4.07,  -4.66,  -4.67
201009,  13.31,  12.18,  13.34,   8.81,   8.58,  11.54
201010,   3.60,   3.49,   4.42,   2.15,   4.26,   4.25
201011,   2.26,   2.65,   4.58,  -0.40,  -0.30,   2.74
201012,  10.85,   8.26,   7.23,   7.97,   6.04,   5.59
201101,  -0.63,   0.24,   0.45,   2.72,   2.38,   1.03
201102,   3.83,   5.12,   5.97,   1.76,   4.67,   3.38
201103,  -0.39,   2.90,   4.34,  -0.81,   0.44,   1.35
201104,   1.56,   2.59,   2.12,   2.88,   3.35,   2.42
201105,  -2.13,  -1.32,  -2.02,  -0.58,  -1.12,  -1.89
201106,  -3.63,  -1.54,  -1.54,  -2.58,  -1.52,  -1.04
201107,  -4.36,  -3.94,  -3.11,  -1.50,  -2.45,  -2.34
201108,  -9.98,  -7.77,  -9.95,  -6.36,  -4.66,  -6.93
201109, -10.65,  -9.97, -13.31,  -7.43,  -6.15,  -9.58
201110,  15.48,  15.10,  17.42,  14.74,  10.48,  10.00
201111,  -2.64,  -0.16,   0.27,  -4.03,  -0.09,   0.84
201112,  -0.45,   1.32,   0.13,  -2.58,   1.59,   0.49
201201,  11.96,   6.44,   6.33,  12.94,   5.09,   2.55
201202,   3.31,   2.52,   3.82,   5.54,   4.13,   4.53
201203,   1.83,   2.98,   3.00,   2.75,   2.30,   4.20
201204,  -3.32,  -1.57,  -0.56,  -4.42,  -0.93,   0.27
201205, -10.02,  -5.88,  -5.17, -12.16,  -6.46,  -4.11
201206,   6.11,   4.74,   4.16,   3.38,   4.73,   3.13
201207,  -4.19,  -1.13,  -0.35,  -0.67,   1.03,   1.50
201208,   4.86,   2.51,   3.29,   4.45,   3.45,   1.32
201209,   4.08,   3.16,   3.60,   4.27,   2.33,   2.49
201210,  -3.24,  -2.36,  -0.94,  -0.34,  -1.69,  -2.53
201211,   1.04,   0.81,   0.80,  -0.22,   0.67,   1.07
201212,   4.90,   3.43,   2.53,   3.83,   0.74,   0.34
201301,   6.22,   5.93,   6.67,   7.59,   5.96,   3.50
201302,   0.91,   1.21,   1.38,  -0.34,   1.57,   1.65
201303,   4.00,   5.01,   6.18,   3.54,   3.57,   5.20
201304,  -0.27,  -1.00,  -0.12,   1.49,   1.78,   1.77
201305,   7.70,   4.22,   4.86,   3.57,   2.35,   2.40
201306,  -0.23,   0.38,   0.44,  -2.66,  -0.44,  -2.47
201307,   7.18,   7.27,   8.36,   4.76,   5.09,   7.06
201308,  -3.22,  -2.96,  -2.36,  -2.26,  -2.79,  -3.05
201309,   5.02,   5.86,   7.49,   1.90,   4.00,   5.47
201310,   2.17,   3.77,   2.06,   3.47,   5.17,   3.62
201311,   4.74,   5.05,   4.55,   2.40,   3.15,   3.36
201312,   2.95,   1.76,   2.83,   2.86,   2.44,   3.02
201401,  -2.72,  -3.66,  -2.61,  -4.97,  -3.28,  -1.86
201402,   4.00,   3.73,   5.41,   3.71,   4.24,   6.56
201403,   0.49,   1.57,  -1.29,   2.17,   1.61,  -2.60
201404,  -2.62,  -2.99,  -5.26,   2.68,   0.76,  -2.32
201405,   0.54,   0.87,  -0.46,   0.64,   2.36,   3.43
201406,   5.21,   5.22,   6.17,   2.61,   1.93,   2.95
201407,  -6.35,  -5.45,  -5.88,  -0.55,  -2.28,  -1.37
201408,   4.09,   4.39,   5.55,   4.23,   4.11,   4.44
201409,  -6.57,  -4.92,  -5.43,  -1.81,  -1.57,  -1.75
201410,   5.70,   7.81,   4.29,   1.32,   2.56,   2.30
201411,  -0.62,  -0.27,   0.25,   2.88,   2.26,   3.38
201412,   1.49,   3.08,   2.51,  -1.78,   0.46,  -0.74
201501,  -7.38,  -4.53,  -1.79,  -3.32,  -4.69,  -1.42
201502,   9.23,   6.20,   5.69,   8.17,   6.22,   5.50
201503,  -0.63,   1.67,   2.46,  -2.94,  -1.65,  -0.62
201504,   2.91,  -2.26,  -4.37,   5.89,   2.13,  -1.37
201505,  -0.85,   0.97,   4.51,  -2.79,   1.15,   3.20
201506,  -0.77,   1.36,   2.36,  -3.82,  -1.86,  -0.93
201507,  -8.75,  -1.35,   0.30,  -7.36,   2.54,   3.52
201508,  -4.63,  -4.42,  -6.77,  -4.22,  -6.28,  -6.41
201509, -11.86,  -4.45,  -4.74,  -5.81,  -2.20,  -2.45
201510,   8.75,   5.88,   4.23,   8.53,   8.25,   6.68
201511,   2.94,   3.56,   4.76,  -1.98,   0.53,   0.77
201512,  -6.54,  -4.65,  -4.99,  -5.67,  -2.34,  -0.54
201601, -12.34,  -9.28,  -9.97,  -6.13,  -5.46,  -5.30
201602,   3.21,   1.38,  -1.75,   1.73,   1.28,  -2.02
201603,  12.84,   8.68,   6.12,   9.36,   7.26,   6.00
201604,   6.60,   1.98,   1.94,   6.76,   1.50,  -0.54
201605,  -0.11,   1.73,   1.69,   1.05,   1.58,   2.20
201606,  -1.94,  -1.01,   0.72,  -3.30,  -1.59,   2.43
201607,   7.48,   5.98,   5.00,   7.16,   4.00,   3.02
201608,   3.64,   2.48,   0.68,   2.76,   0.92,  -1.10
201609,   2.59,   1.38,   1.88,  -0.86,   0.26,   0.37
201610,  -7.32,  -3.69,  -4.96,  -1.32,  -1.42,  -2.66
201611,  11.56,  13.08,  10.11,   9.57,   4.05,   1.48
201612,   1.73,   4.06,   1.17,   1.24,   2.25,   1.25
201701,   1.84,  -0.46,   0.55,   2.42,   1.98,   1.84
201702,   2.68,   1.39,   1.14,   4.23,   3.69,   2.74
201703,   1.47,   0.99,  -0.25,  -0.14,   0.54,  -0.36
201704,   0.47,   1.94,   1.10,   0.59,   1.40,   0.93
201705,  -2.73,  -2.24,  -2.49,   0.04,   1.12,   2.79
201706,   3.87,   3.86,   4.51,   1.11,   0.67,   0.26
201707,  -0.01,   0.37,   1.22,   1.54,   0.94,   3.56
201708,  -3.44,  -1.21,  -0.45,  -2.21,   0.57,   1.43
201709,   7.60,   7.85,   7.03,   3.69,   2.39,   1.56
201710,  -1.98,   0.54,   1.33,  -0.76,   1.65,   4.35
201711,   3.30,   3.27,   2.69,   4.58,   2.87,   3.30
201712,   1.02,  -1.12,   0.99,   3.36,   1.66,   0.29
201801,   1.71,   2.17,   4.00,   2.64,   4.21,   8.52
201802,  -5.28,  -3.18,  -3.32,  -6.94,  -4.48,  -1.55
201803,   0.55,   1.58,   0.40,  -0.66,  -2.27,  -2.91
201804,   1.98,   0.66,   1.02,  -1.08,   0.35,   0.77
201805,   5.59,   4.92,   9.07,  -0.46,   2.35,   3.88
201806,   2.27,   0.39,   1.07,   2.97,   0.38,  -0.36
201807,   1.25,   1.99,   1.32,   4.64,   4.61,   1.72
201808,   2.63,   2.99,   6.34,   0.75,   1.61,   7.65
201809,  -2.03,  -2.79,  -2.48,   0.42,   0.27,   0.72
201810, -11.41,  -9.44, -11.90,  -5.65,  -5.70,  -9.28
201811,   2.52,   1.23,   0.79,   0.97,   3.80,  -0.11
201812, -14.16, -11.93, -11.23,  -9.14,  -9.64,  -8.55
201901,  17.58,  10.05,   8.84,  16.02,   7.74,   7.52
201902,   5.60,   5.45,   5.37,   2.73,   3.17,   3.97
201903,  -3.37,  -3.31,  -1.38,   0.06,   1.08,   2.55
201904,   3.57,   3.90,   1.55,   6.33,   5.33,   2.52
201905, -12.61,  -8.89,  -5.77, -13.28,  -7.11,  -5.01
201906,   7.78,   7.56,   7.49,  10.64,   7.32,   6.46
201907,  -3.24,   0.48,   2.28,   0.51,   2.39,   0.83
201908,  -9.01,  -5.59,  -3.36,  -9.17,  -3.72,   0.21
201909,   5.70,   3.98,  -1.98,   5.63,   3.14,  -0.16
201910,   0.05,   3.16,   3.43,   3.87,   3.48,   0.76
201911,   4.70,   4.47,   3.70,   6.68,   4.54,   2.60
201912,   6.55,   3.00,   3.16,   4.02,   2.57,   2.96
202001,  -7.19,  -4.41,  -1.56,  -4.42,  -0.37,   1.99
202002,  -9.05,  -9.79,  -7.45,  -5.78,  -8.43,  -7.93
202003, -25.87, -22.49, -22.85, -24.68, -12.91, -11.28
202004,  24.99,  13.58,  18.53,  17.19,  13.74,  12.68
202005,   8.98,   4.66,   7.30,   3.54,   5.27,   5.54
202006,   5.54,   3.39,   5.27,   4.96,  -1.31,   3.56
202007,  -0.13,   2.66,   4.89,  -3.06,   3.98,   7.35
202008,   7.85,   5.41,   4.69,   5.09,   4.80,   9.16
202009,  -6.28,  -4.53,  -1.90,  -6.31,  -2.04,  -4.29
202010,   5.68,   3.34,   2.13,   0.12,  -2.01,  -2.62
202011,  27.08,  16.90,  17.95,  26.08,  13.72,  10.10
202012,  11.28,   7.28,   8.80,   6.30,   4.65,   4.05
202101,   5.14,   3.80,  13.82,   0.83,  -2.94,   0.77
202102,  12.75,  10.05,   6.94,   9.65,   4.62,  -0.34
202103,   4.87,   3.98,   0.14,   7.01,   5.85,  -0.49
202104,   0.50,   2.14,   1.83,   3.75,   6.44,   4.87
202105,  -0.14,   1.73,   2.20,  -0.19,   1.16,  -1.42
202106,   2.00,  -0.07,   4.19,   1.31,   3.49,   3.26
202107,  -3.71,  -2.19,  -5.18,   2.26,   2.10,  -0.62
202108,   0.72,   2.41,   2.97,   1.85,   3.32,   4.88
202109,  -2.96,  -2.77,  -1.94,  -5.09,  -4.29,  -3.34
202110,   1.56,   3.30,   4.50,   4.21,   8.34,   7.91
202111,  -6.28,  -2.65,  -3.70,  -2.90,   0.24,  -3.56
202112,   2.06,   4.48,   1.91,   4.63,   5.29,  -0.01
202201, -10.40,  -5.31, -10.21,  -2.48,  -5.68,  -7.50
202202,  -0.49,   1.12,   2.31,  -1.91,  -3.47,  -1.39
202203,   0.54,   0.41,   1.49,  -0.22,   2.58,   4.71
202204, -14.73,  -7.72,  -7.22, -12.24,  -7.73,  -9.75
202205,  -2.94,   0.77,   1.76,  -0.77,   0.03,  -0.39
202206,  -7.99,  -5.82, -10.14, -11.70,  -8.09,  -7.39
202207,  12.03,   9.96,   9.02,  14.40,   8.77,   8.70
202208,  -1.27,  -2.39,  -0.11,  -4.19,  -4.74,  -1.65
202209, -11.37,  -9.49,  -8.70, -12.06,  -9.55,  -7.38
202210,   7.74,  11.49,  13.26,   7.61,   6.49,   9.91
202211,   0.57,   3.15,   1.74,   7.47,   6.51,   2.89
202212,  -7.82,  -4.23,  -5.06, -10.44,  -5.37,  -3.38
202301,  19.76,  10.08,   5.45,  18.35,   6.14,   0.30
202302,  -4.65,  -0.86,  -1.41,  -1.50,  -1.76,  -3.64
202303,  -6.56,  -5.45,  -4.16,   7.81,   2.11,   0.72
202304,  -3.14,  -2.82,  -1.33,   0.43,   1.20,   2.15
202305,  -0.26,  -2.30,   0.75,   5.22,  -0.73,   2.46
202306,   8.36,   8.10,   6.67,  11.04,   5.60,   7.35
202307,   9.96,   6.01,   4.79,   5.36,   4.27,   2.42
202308,  -7.93,  -5.34,  -4.30,  -5.09,  -1.30,  -1.16
202309,  -8.28,  -4.64,  -6.92,  -4.68,  -4.32,  -5.38
202310,  -8.01,  -5.12,  -7.48,  -4.74,  -2.19,  -1.93
202311,   9.10,   8.05,  11.08,   8.17,   7.70,  11.32
202312,  16.49,  12.02,  12.14,  10.50,   5.12,   3.78
202401,  -6.69,  -4.34,  -2.35,  -3.66,   0.91,   2.83
202402,   3.27,   2.98,   7.31,   2.17,   3.18,   7.92
202403,   1.95,   2.54,   3.57,   5.19,   3.58,   2.94
202404,  -7.72,  -6.84,  -6.87,  -3.04,  -3.43,  -4.74
202405,   5.70,   4.83,   4.56,   5.81,   2.77,   6.61
202406,  -2.28,  -1.37,  -3.06,   2.96,   2.25,   5.45
202407,   8.97,  10.53,  11.03,   4.74,   3.20,  -2.02
202408,  -4.92,  -0.54,   0.64,  -1.71,   2.98,   2.36
202409,   1.04,   0.41,   0.47,   3.10,   1.81,   2.42
202410,  -2.33,  -0.65,   0.76,  -1.63,  -1.56,   1.27
202411,  11.30,  10.33,  12.05,   5.89,   6.59,   7.13
202412,  -5.55,  -7.14,  -9.06,  -6.08,  -1.72,  -3.16
202501,   1.91,   2.22,   2.01,   2.56,   2.37,   4.39
202502,  -8.05,  -4.23,  -5.48,  -0.16,   0.65,  -4.36
202503,  -8.50,  -5.64,  -8.04,  -3.05,  -2.69,  -9.19
202504,  -5.18,  -2.90,  -0.52,  -4.20,  -1.30,   1.08
202505,   5.83,   5.11,   7.16,   4.35,   5.67,   7.45
202506,   5.46,   4.59,   5.29,   9.02,   5.79,   3.92
202507,   3.67,   0.62,   0.70,  -0.64,   4.34,   0.40
202508,   8.19,   7.04,   7.52,   5.97,   5.53,  -0.44
202509,   0.47,  -0.67,   4.21,  -0.11,   1.97,   5.41
202510,   0.53,  -1.80,   0.21,   2.65,   0.96,   3.60


  Average Equal Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,   1.83,   3.15,  -0.71,   0.42,   0.47,   1.19
192702,   4.67,   6.72,   5.83,   6.40,   5.55,   4.81
192703,  -4.59,  -1.15,  -3.18,  -3.89,  -1.17,   0.54
192704,   1.37,  -0.63,   4.06,  -1.90,   0.65,   1.14
192705,   3.14,  11.19,   7.69,   5.77,   4.95,   8.23
192706,  -2.50,   0.46,  -2.67,  -5.07,  -1.86,  -1.60
192707,   5.05,   5.18,   6.40,   6.37,   6.52,   6.70
192708,  -1.43,  -0.67,   0.14,   1.63,   2.06,  -0.11
192709,   1.60,  -0.53,   2.50,   2.86,   4.46,   6.05
192710,  -6.11,  -2.92,  -3.80,  -4.08,  -3.29,  -3.23
192711,  15.48,  10.72,   7.23,   8.90,   6.91,   7.98
192712,   1.95,   4.85,   4.33,   3.20,   2.71,   3.22
192801,   3.87,   7.13,   7.60,  -0.73,   0.89,   1.41
192802,  -1.98,  -1.08,  -6.05,  -2.99,  -1.73,  -3.20
192803,   6.42,   6.69,   6.99,   8.46,   5.18,   9.86
192804,  13.18,  16.14,   6.80,   6.96,   5.10,   4.11
192805,   7.96,   4.67,   6.24,   1.62,   0.51,   2.86
192806,  -8.74,  -8.14,  -8.86,  -6.30,  -4.28,  -6.10
192807,  -1.63,  -0.29,   0.18,  -0.24,   1.18,   1.71
192808,   4.33,   2.84,   5.42,   4.93,   6.95,  10.64
192809,   5.51,   5.89,   7.06,   3.34,   3.28,   5.75
192810,   0.70,   0.29,   6.52,  -0.60,   0.44,   3.43
192811,  11.34,  13.44,  10.75,   8.88,  11.46,  15.41
192812,  -3.23,   0.61,  -3.95,   0.15,   0.34,   2.85
192901,   1.38,   1.23,   5.88,   3.85,   4.59,   3.89
192902,  -1.20,   3.54,   3.32,  -0.19,  -0.45,   1.44
192903,  -5.08,  -5.83,  -0.84,   0.20,  -1.58,  -2.55
192904,   0.60,   0.88,   1.96,  -1.95,   1.88,   2.94
192905, -12.29, -10.57, -13.56,  -3.97,  -4.51,  -8.65
192906,   4.33,   5.09,  10.07,   3.79,   7.14,  14.11
192907,  -0.32,  -0.51,   2.49,   1.08,   4.48,   3.09
192908,  -1.99,   0.50,   2.47,   4.13,   4.53,   7.58
192909,  -6.68,  -5.17,  -2.56,  -7.90,  -3.15,  -2.60
192910, -20.95, -19.87, -25.47, -26.02, -14.20, -21.46
192911, -12.03, -10.99, -12.78, -12.53,  -8.61, -13.66
192912, -10.02,  -4.88,   0.24,  -1.35,  -0.96,   2.99
193001,  21.02,   9.39,   7.30,  10.69,   7.31,   4.60
193002,   4.65,   3.26,   5.79,   1.90,   1.43,   2.96
193003,  18.61,   8.77,   8.47,   8.01,   8.16,   6.55
193004,  -5.74,  -7.42,  -2.39,  -4.84,  -5.08,  -2.12
193005,  -7.40,  -2.70,  -4.16,  -1.92,  -2.61,  -1.27
193006, -23.55, -19.05, -17.95, -22.15, -15.93, -14.59
193007,   3.91,   2.62,   3.03,   7.54,   4.59,   3.01
193008,  -3.61,  -2.71,  -0.25,  -3.36,  -0.41,   0.03
193009, -20.59, -15.94, -10.15, -22.29, -13.80, -10.28
193010, -11.35,  -8.12,  -8.88, -14.92, -10.33,  -7.64
193011,  -2.45,  -3.12,  -0.75,   1.64,  -3.18,  -1.84
193012, -22.37, -16.71, -11.06, -14.73, -11.13,  -5.80
193101,  29.43,  15.84,  11.92,  11.51,   9.49,   5.09
193102,  22.28,  18.43,  11.41,  19.19,  14.60,   7.20
193103,  -9.92,  -3.60,  -0.03, -13.40,  -9.31,  -2.09
193104, -19.74, -17.01, -11.43, -19.07, -15.03,  -8.74
193105, -16.41, -13.38,  -7.06, -21.20, -15.64, -10.65
193106,  25.56,  17.63,  12.18,  30.42,  19.25,   9.79
193107,  -9.58,  -6.36,  -1.72, -13.95,  -8.45,  -2.81
193108,  -3.03,  -3.65,  -4.16,   1.70,  -1.52,   0.08
193109, -35.55, -28.90, -29.25, -37.16, -32.51, -25.47
193110,  10.19,  10.29,  14.46,   9.65,   8.58,  10.46
193111, -10.74,  -7.35,  -8.08, -17.20,  -9.42,  -4.86
193112, -24.98, -22.70, -17.47, -25.87, -16.88,  -8.54
193201,  19.11,  14.37,   8.12,   9.64,   1.77,  -0.10
193202,   1.17,   0.34,   5.64,   1.16,   2.41,   3.16
193203, -16.35, -10.94,  -7.70, -20.20, -13.49,  -7.25
193204, -21.47, -19.42, -16.11, -22.04, -18.93, -13.48
193205, -16.66, -16.71, -16.91, -34.94, -24.43, -18.85
193206,   3.74,   6.90,   4.89,   3.63,   1.36,   4.31
193207,  61.64,  48.12,  18.00,  70.98,  40.62,  22.53
193208, 105.93,  85.41,  54.74,  86.42,  47.55,  24.70
193209,  -9.07,  -7.13,  -8.25,  -6.33,  -3.66,  -2.36
193210, -15.57, -17.03, -19.40, -20.61, -14.57, -15.09
193211,  -8.45,  -9.05,  -6.87,  -9.11,  -6.74,  -5.86
193212,  -6.26,  -9.54,  -6.13,  -1.09,   1.62,   2.58
193301,   7.13,   7.28,  -0.50,   2.33,   2.19,   3.40
193302, -17.65, -16.92,  -9.56, -19.13, -16.47, -13.51
193303,  11.12,  14.79,  11.97,   2.14,   8.01,   8.26
193304,  57.72,  50.98,  58.49,  58.65,  51.12,  40.75
193305,  91.08,  92.07,  83.04,  37.81,  32.99,  27.99
193306,  30.88,  29.64,  25.75,  12.23,  13.39,  17.33
193307,  -8.22,  -7.89,  -8.15, -10.22, -11.57, -11.35
193308,   5.70,   9.51,   8.59,   8.70,  16.74,  19.51
193309, -19.46, -16.78, -16.66, -16.95, -10.79, -11.31
193310, -10.20, -12.78, -12.21, -10.10,  -9.75, -10.55
193311,   2.03,   6.68,   5.37,   5.45,   9.99,   9.54
193312,  -0.88,   0.97,   1.76,   1.27,   2.68,   4.98
193401,  51.21,  42.70,  39.89,  24.54,  18.90,  15.90
193402,   2.99,   3.32,   4.65,  -1.81,  -1.18,  -1.68
193403,   3.13,  -0.22,   1.43,  -0.85,   0.61,   1.53
193404,   2.63,   2.51,   0.58,   1.00,  -2.00,  -5.11
193405, -11.98, -12.58, -13.63,  -7.65,  -9.79, -10.33
193406,  -1.98,  -1.27,  -2.56,   1.58,   2.89,   4.22
193407, -22.51, -25.34, -20.77, -23.52, -15.22,  -9.96
193408,  11.52,  12.14,  15.71,   7.62,   6.01,   8.46
193409,  -3.25,  -0.54,  -0.85,   0.67,  -1.51,  -0.01
193410,  -5.73,  -2.01,   4.19,  -5.20,  -1.89,   0.66
193411,  14.06,  15.01,  19.31,   9.28,  10.85,  11.15
193412,   0.75,   0.39,   6.54,  -1.48,   1.39,   2.21
193501,  -1.87,  -1.33,  -3.72,  -7.80,  -4.30,  -1.78
193502, -14.82,  -5.42,  -3.21, -13.48,  -3.98,   3.11
193503, -11.46,  -9.99,  -7.88,  -4.54,  -5.51,  -3.56
193504,  12.69,  10.17,   9.66,  11.56,   9.82,   6.45
193505,   2.24,   1.81,   1.78,   7.39,   2.84,   1.77
193506,  -1.59,   2.68,   8.35,   7.76,   6.85,   6.33
193507,  14.39,  12.37,  12.37,  16.49,   7.36,   7.50
193508,  19.26,   8.78,   6.29,  12.17,   1.35,   2.94
193509,  -1.74,   4.13,  10.16,  -4.09,   1.81,   4.33
193510,   9.17,   8.76,   9.55,   4.28,   7.36,   9.93
193511,  35.38,  16.86,  14.62,   8.85,   5.43,   5.57
193512,   2.06,   6.47,   9.49,   5.23,   5.70,   7.27
193601,  27.66,  18.94,  22.15,   6.89,   7.22,  10.08
193602,   3.58,   7.72,   7.56,   1.68,   3.57,   3.07
193603,  -0.11,  -0.02,   0.69,   0.20,   0.73,   2.24
193604,  -8.12, -17.40, -18.58,  -6.28, -10.48, -12.30
193605,   4.24,   5.46,   7.04,   2.90,   5.24,   7.10
193606,  -1.58,  -0.56,  -1.68,   0.74,   1.58,   0.89
193607,   8.34,   9.05,   8.31,   3.45,   9.16,  11.40
193608,   0.81,   1.86,   3.49,   1.14,   3.25,   1.62
193609,   4.82,   4.38,   5.23,   1.56,   1.61,   2.59
193610,   6.08,   8.83,   6.26,   4.88,   5.81,   7.46
193611,  12.44,  14.29,  13.28,   4.64,   4.26,   6.25
193612,   3.37,   4.86,   2.90,  -0.39,   0.90,   3.87
193701,  11.85,  12.13,  10.98,   3.67,   4.18,   5.02
193702,   1.76,   3.92,   3.91,   0.74,   1.70,   3.03
193703,   0.37,  -0.71,   0.92,  -1.02,   0.13,   1.81
193704, -12.95, -11.10, -13.43,  -7.32,  -7.13, -10.89
193705,  -4.23,  -2.48,  -2.21,  -2.17,  -1.87,  -1.51
193706, -11.39,  -8.58, -10.90,  -4.99,  -5.36,  -5.51
193707,  12.19,  10.45,  10.87,   9.73,   8.67,   9.31
193708,  -5.84,  -5.21,  -6.29,  -5.70,  -4.06,  -5.51
193709, -21.85, -20.30, -24.53, -13.90, -15.43, -21.87
193710,  -9.03, -10.15, -10.79,  -8.70,  -9.45, -11.81
193711, -13.52, -12.15, -11.96,  -7.96,  -9.05,  -9.98
193712, -15.60, -11.87, -12.48,  -9.00,  -8.83,  -5.08
193801,   8.45,   5.46,   4.58,   1.41,   1.73,   1.71
193802,   4.80,   6.83,   2.86,   9.64,   8.23,   5.71
193803, -35.12, -30.43, -22.88, -36.59, -29.98, -20.40
193804,  26.66,  22.61,  17.18,  24.29,  19.54,  14.03
193805,  -9.92,  -7.93,  -3.10,  -9.36,  -7.96,  -3.10
193806,  37.23,  35.48,  15.55,  45.50,  35.46,  17.96
193807,  16.99,  13.38,  12.76,  15.95,  10.36,   6.88
193808, -10.65,  -8.51,  -4.07,  -6.22,  -5.05,  -2.46
193809,  -3.23,  -2.52,  -0.14,  -2.27,  -0.19,  -0.04
193810,  18.44,  17.89,  14.80,  18.75,  10.19,   9.14
193811,  -7.92,  -4.97,  -0.72,  -4.40,  -1.76,  -1.34
193812,  -1.38,   1.78,   3.73,   3.02,   5.03,   6.01
193901,  -5.97,  -8.16,  -9.81,  -6.94,  -7.00,  -8.43
193902,   2.95,   3.86,   5.92,   1.86,   4.24,   5.73
193903, -17.55, -19.47, -20.87, -15.53, -15.00, -16.88
193904,  -2.47,   1.29,   3.64,  -0.68,  -0.14,   0.03
193905,   7.08,   8.68,  11.12,   6.42,   8.26,   9.81
193906, -10.61,  -9.72,  -9.67,  -9.83,  -5.91,  -6.79
193907,  13.74,  15.31,  14.35,  15.46,  12.31,  12.47
193908, -12.34, -12.29,  -9.46, -13.45, -10.03,  -7.56
193909,  81.41,  44.22,  27.52,  37.31,  26.13,  12.45
193910,  -5.22,   0.08,   1.90,  -3.49,  -1.31,   3.41
193911,  -8.41, -11.36, -13.02,  -7.41,  -4.78,  -5.87
193912,  -2.02,   0.30,   2.18,  -0.06,   3.15,   4.86
194001,  -1.92,  -1.44,  -2.35,  -3.50,  -3.01,  -0.32
194002,   2.57,   4.29,   6.28,  -0.06,   2.08,   2.90
194003,   2.73,   3.59,   2.33,   2.38,   1.80,   3.45
194004,  -1.22,   1.89,   6.00,  -2.56,  -0.05,   4.14
194005, -28.72, -29.44, -29.20, -27.67, -23.20, -26.15
194006,   6.58,   6.28,   6.21,  10.25,   6.68,   5.53
194007,   2.25,   3.38,   5.00,   4.12,   3.48,   4.39
194008,   0.95,   2.91,   1.68,   4.21,   1.48,   2.09
194009,   3.17,   5.00,   4.52,   3.15,   3.47,   2.73
194010,   4.43,   4.26,   4.89,  10.21,   5.35,   2.89
